Date;Open;High;Low;Close
2013-02-25;7731.80;7860.57;7726.40;7773.19
2013-02-22;7619.81;7681.12;7607.26;7661.91
2013-02-21;7681.61;7688.44;7561.84;7583.57
2013-02-20;7747.21;7784.64;7709.48;7728.90
2013-02-19;7614.10;7762.90;7611.60;7752.45
2013-02-18;7591.08;7629.78;7568.16;7628.73
2013-02-15;7636.26;7649.50;7588.57;7593.51
2013-02-14;7697.89;7729.36;7607.48;7631.19
2013-02-13;7678.48;7737.41;7650.29;7711.89
2013-02-12;7619.12;7661.97;7593.66;7660.19
2013-02-11;7627.72;7676.82;7597.61;7633.74
2013-02-08;7607.57;7655.31;7577.34;7652.14
2013-02-07;7581.37;7661.31;7565.32;7590.85
2013-02-06;7665.88;7694.42;7537.29;7581.18
2013-02-05;7643.54;7677.14;7622.30;7664.66
2013-02-04;7822.54;7837.64;7637.68;7638.23
2013-02-01;7792.59;7853.37;7784.97;7833.39
2013-01-31;7800.45;7812.34;7765.20;7776.05
2013-01-30;7855.68;7863.35;7775.03;7811.31
2013-01-29;7841.96;7857.14;7800.12;7848.57
2013-01-28;7859.83;7871.79;7831.72;7833.00
2013-01-25;7746.78;7865.16;7743.19;7857.97
2013-01-24;7700.53;7753.30;7661.96;7748.13
2013-01-23;7702.92;7731.63;7684.84;7707.54
2013-01-22;7741.88;7746.91;7634.26;7696.21
2013-01-21;7727.77;7749.82;7719.02;7748.86
2013-01-18;7747.13;7753.49;7702.23;7702.23
2013-01-17;7677.28;7764.03;7662.43;7735.46
2013-01-16;7661.61;7694.80;7643.14;7691.13
2013-01-15;7704.05;7735.21;7635.88;7675.91
2013-01-14;7737.61;7785.82;7702.36;7729.52
2013-01-11;7725.93;7731.45;7683.92;7715.53
2013-01-10;7732.14;7773.69;7685.08;7708.47
2013-01-09;7713.57;7734.78;7688.55;7720.47
2013-01-08;7710.70;7754.38;7683.48;7695.83
2013-01-07;7760.01;7767.55;7713.42;7732.66
2013-01-04;7740.99;7779.67;7727.55;7776.37
2013-01-03;7762.13;7777.02;7737.98;7756.44
2013-01-02;7689.46;7789.94;7689.46;7778.78
2012-12-28;7649.89;7665.68;7602.89;7612.39
2012-12-27;7652.27;7676.50;7640.30;7655.88
2012-12-21;7632.41;7653.73;7596.64;7636.23
2012-12-20;7642.99;7675.45;7635.39;7672.10
2012-12-19;7675.33;7682.90;7655.71;7668.50
2012-12-18;7634.28;7667.91;7626.25;7653.58
2012-12-17;7604.16;7627.14;7564.07;7604.94
2012-12-14;7599.03;7619.26;7571.16;7596.47
2012-12-13;7618.62;7618.62;7561.96;7581.98
2012-12-12;7595.20;7626.40;7590.18;7614.79
2012-12-11;7529.24;7596.90;7518.74;7589.75
2012-12-10;7484.95;7536.60;7457.40;7530.92
2012-12-07;7539.78;7553.05;7487.64;7517.80
2012-12-06;7469.54;7554.51;7461.19;7534.54
2012-12-05;7480.59;7482.28;7428.70;7454.55
2012-12-04;7428.13;7466.25;7417.30;7435.12
2012-12-03;7427.41;7487.89;7419.30;7435.21
2012-11-30;7399.09;7442.60;7398.22;7405.50
2012-11-29;7382.55;7416.52;7377.09;7400.96
2012-11-28;7317.49;7351.48;7265.44;7343.41
2012-11-27;7343.01;7361.55;7307.30;7332.33
2012-11-26;7286.69;7312.86;7273.57;7292.03
2012-11-23;7258.33;7311.55;7219.55;7309.13
2012-11-22;7210.46;7253.02;7205.20;7244.99
2012-11-21;7148.91;7194.79;7139.99;7184.71
2012-11-20;7098.13;7186.61;7092.23;7172.99
2012-11-19;7020.23;7130.87;7007.21;7123.84
2012-11-16;7045.63;7059.83;6950.53;6950.53
2012-11-15;7064.99;7079.22;7021.62;7043.42
2012-11-14;7156.34;7182.81;7084.63;7101.92
2012-11-13;7131.60;7185.29;7074.87;7169.12
2012-11-12;7164.68;7196.00;7138.17;7168.76
2012-11-09;7220.69;7222.87;7064.34;7163.50
2012-11-08;7260.35;7287.00;7184.18;7204.96
2012-11-07;7425.08;7434.96;7226.60;7232.83
2012-11-06;7336.46;7388.98;7319.73;7377.76
2012-11-05;7320.98;7337.47;7304.45;7326.47
2012-11-02;7336.52;7391.04;7314.68;7363.85
2012-11-01;7255.30;7356.18;7255.11;7335.67
2012-10-31;7305.07;7347.51;7260.63;7260.63
2012-10-30;7239.69;7292.83;7239.04;7284.40
2012-10-29;7205.05;7225.32;7171.96;7203.16
2012-10-26;7161.73;7257.37;7147.51;7231.85
2012-10-25;7203.12;7256.22;7181.45;7200.23
2012-10-24;7202.03;7216.13;7120.68;7192.85
2012-10-23;7339.16;7343.60;7153.80;7173.69
2012-10-22;7372.36;7390.10;7313.24;7328.05
2012-10-19;7413.69;7430.12;7363.50;7380.64
2012-10-18;7401.41;7447.81;7389.01;7437.23
2012-10-17;7381.08;7399.99;7367.59;7394.55
2012-10-16;7309.08;7387.78;7293.90;7376.27
2012-10-15;7237.40;7302.23;7237.40;7261.25
2012-10-12;7260.57;7291.24;7232.42;7232.49
2012-10-11;7192.75;7305.46;7182.31;7281.70
2012-10-10;7219.46;7245.17;7201.09;7205.23
2012-10-09;7306.33;7308.13;7221.50;7234.53
2012-10-08;7340.39;7341.28;7286.24;7291.21
2012-10-05;7327.70;7409.78;7312.79;7397.87
2012-10-04;7368.21;7374.86;7283.48;7305.21
2012-10-03;7283.26;7339.33;7272.06;7322.08
2012-10-02;7278.13;7373.15;7266.11;7305.86
2012-10-01;7227.81;7339.20;7225.29;7326.73
2012-09-28;7330.61;7337.17;7215.95;7216.15
2012-09-27;7313.15;7324.97;7268.69;7290.02
2012-09-26;7362.98;7362.98;7255.77;7276.51
2012-09-25;7406.22;7438.89;7369.39;7425.11
2012-09-24;7419.65;7440.49;7388.20;7413.16
2012-09-21;7409.34;7478.53;7391.06;7451.62
2012-09-20;7322.62;7390.46;7313.14;7389.49
2012-09-19;7387.18;7396.12;7326.24;7390.76
2012-09-18;7350.09;7375.00;7304.25;7347.69
2012-09-17;7390.29;7414.22;7382.47;7403.69
2012-09-14;7397.98;7446.47;7388.79;7412.13
2012-09-13;7341.78;7353.22;7280.23;7310.32
2012-09-12;7331.58;7410.36;7307.48;7343.53
2012-09-11;7197.20;7313.48;7186.63;7310.11
2012-09-10;7207.96;7233.92;7203.65;7213.70
2012-09-07;7183.92;7248.51;7182.60;7214.50
2012-09-06;6984.31;7172.32;6977.86;7167.33
2012-09-05;6941.66;7003.53;6892.86;6964.69
2012-09-04;7012.99;7015.71;6920.00;6932.58
2012-09-03;6946.61;7016.31;6944.25;7014.83
2012-08-31;6897.73;7011.45;6889.79;6970.79
2012-08-30;6962.29;6978.50;6871.00;6895.49
2012-08-29;7003.02;7029.80;6945.71;7010.57
2012-08-28;7004.05;7031.16;6976.01;7002.68
2012-08-27;6960.02;7049.48;6946.08;7047.45
2012-08-24;6957.60;6990.07;6885.98;6971.07
2012-08-23;7065.99;7080.74;6923.07;6949.57
2012-08-22;7048.30;7051.77;7005.26;7017.75
2012-08-21;7048.79;7105.43;7041.73;7089.32
2012-08-20;7037.02;7086.22;7008.97;7033.68
2012-08-17;7011.37;7041.11;7000.85;7040.88
2012-08-16;6958.39;7001.40;6929.43;6996.29
2012-08-15;6953.01;6972.64;6910.39;6946.80
2012-08-14;6965.04;6995.03;6939.50;6974.39
2012-08-13;6935.51;6976.31;6882.03;6909.68
2012-08-10;6927.71;6955.38;6891.90;6944.56
2012-08-09;6979.41;6989.15;6891.49;6964.99
2012-08-08;6944.89;6966.15;6907.29;6966.15
2012-08-07;6909.28;6979.63;6902.86;6967.95
2012-08-06;6845.88;6943.32;6845.88;6918.72
2012-08-03;6626.30;6876.74;6621.36;6865.66
2012-08-02;6756.16;6855.71;6596.21;6606.09
2012-08-01;6775.99;6800.10;6735.89;6754.46
2012-07-31;6780.62;6835.19;6756.18;6772.26
2012-07-30;6729.19;6796.61;6703.26;6774.06
2012-07-27;6605.42;6690.43;6513.97;6689.40
2012-07-26;6393.20;6595.58;6324.53;6582.96
2012-07-25;6387.84;6475.33;6375.15;6406.52
2012-07-24;6420.82;6456.00;6378.00;6390.41
2012-07-23;6561.87;6572.11;6371.15;6419.33
2012-07-20;6741.90;6775.74;6620.72;6630.02
2012-07-19;6706.99;6773.50;6698.87;6758.39
